file,Feature,model,class,acc_sd,f1-macro_sd,auc_sd,time-s_sd
kaggle,LIWC,cnb,JP,0.5661681169999999,0.5594473364,0.5973374992,0.0167546272
kaggle,LIWC,lgb,JP,0.5783255188,0.5686818664,0.5942216017999999,2.6648636818000004
kaggle,LIWC,lgr,JP,0.5785559282,0.5712007176,0.6127974234000001,0.13383617379999999
kaggle,LIWC,rf,JP,0.604145288,0.46061312060000004,0.583581461,0.9133667468000001
kaggle,LIWC,svc,JP,0.579135302,0.5719532467999999,0.611845574,23.559602166
kaggle,char_tf,cnb,JP,0.6721103685474704,0.6642284279996952,0.7279244268595455,0.041202545166015625
kaggle,char_tf,lgb,JP,0.8117397435072593,0.8029080045560223,0.8835724282864404,17.12950210571289
kaggle,char_tf,lgr,JP,0.7298807474961932,0.7214734029018954,0.8015653993132494,2.9425403594970705
kaggle,char_tf,rf,JP,0.7577878037272943,0.7160948597625658,0.8516865833591755,1.2310466766357422
kaggle,char_tf,svc,JP,0.7535014422355186,0.7457193041275608,0.8253216082302733,363.91080689430237
kaggle,char_tfidf,cnb,JP,0.6725731974,0.6655473474000001,0.7295593991999999,0.041989231
kaggle,char_tfidf,lgb,JP,0.8108130804,0.8013976892000001,0.8841571089999999,126.23254075999998
kaggle,char_tfidf,lgr,JP,0.7335871318,0.7252044598,0.8030168934,2.7063793182
kaggle,char_tfidf,rf,JP,0.755239028,0.7111581036000001,0.8500291971999999,2.3031729220000003
kaggle,char_tfidf,svc,JP,0.7544268319999999,0.7469796016,0.827753575,337.5023703
kaggle,combo,cnb,JP,0.6998979310085998,0.692672703272853,0.76345573642046,0.21432905197143554
kaggle,combo,lgb,JP,0.8102351138776298,0.8004556326450869,0.8849741341666378,455.7599746227264
kaggle,combo,lgr,JP,0.7215455376482447,0.7105609343852406,0.7869669245352151,31.01483020782471
kaggle,combo,rf,JP,0.78997210695061,0.763950731993703,0.8709032816041271,4.62598237991333
kaggle,combo,svc,JP,0.7679734580411333,0.7603671360892401,0.8408779353641129,1815.6114363193512
kaggle,word_tf,cnb,JP,0.715991590533788,0.7088964057569314,0.7873847807594095,0.04348311424255371
kaggle,word_tf,lgb,JP,0.8054880010294022,0.7959581426833132,0.878129125971407,20.821390628814697
kaggle,word_tf,lgr,JP,0.7398390084496772,0.7316028268042605,0.8123457286302095,3.0239781856536867
kaggle,word_tf,rf,JP,0.771794779000193,0.7354159949911953,0.8610023143083845,1.2419277667999267
kaggle,word_tf,svc,JP,0.7661206679319736,0.7582008623827804,0.8388253599804717,341.87504892349244
kaggle,word_tfidf,cnb,JP,0.7306954228,0.7241791196,0.8058111701999999,0.04667596820000001
kaggle,word_tfidf,lgb,JP,0.8040976376,0.7937779025999999,0.8796438164,139.09430121999998
kaggle,word_tfidf,lgr,JP,0.737176167,0.7292068938,0.8122366378000001,3.2739975454000003
kaggle,word_tfidf,rf,JP,0.7724890224,0.738105104,0.8586425395999999,2.695866442
kaggle,word_tfidf,svc,JP,0.7656585091999999,0.7586468014,0.8415407966,320.37896270000005
kaggle_noNN,LIWC,cnb,JP,0.5648953038,0.5589850262,0.5906708178,0.0161559582
kaggle_noNN,LIWC,lgb,JP,0.5720738436,0.559626747,0.5921994924,3.5493293286000003
kaggle_noNN,LIWC,lgr,JP,0.5716080658000001,0.5655832344,0.6050161388,0.1326800346
kaggle_noNN,LIWC,rf,JP,0.6064603706,0.46406322199999994,0.5853973592,0.9280800819999999
kaggle_noNN,LIWC,svc,JP,0.5710313058,0.5659677742,0.604495803,23.825555656000002
kaggle_noNN,char_tf,cnb,JP,0.6592577178365394,0.6512750383283722,0.7118776414951389,0.0408900260925293
kaggle_noNN,char_tf,lgb,JP,0.742154292393146,0.7304378700081836,0.8058259507693032,15.29108123779297
kaggle_noNN,char_tf,lgr,JP,0.6668975449827361,0.6579563939586579,0.7218140993006161,2.3326632499694826
kaggle_noNN,char_tf,rf,JP,0.6905165642625833,0.6106238273005132,0.7627147961420955,1.1872190475463866
kaggle_noNN,char_tf,svc,JP,0.6968829751871153,0.6871544512673939,0.7590279061281195,379.7491066455841
kaggle_noNN,char_tfidf,cnb,JP,0.6563631940000001,0.6486463516,0.711266731,0.044486666
kaggle_noNN,char_tfidf,lgb,JP,0.735670264,0.7230474370000001,0.8029981226,78.614798834
kaggle_noNN,char_tfidf,lgr,JP,0.6611074922,0.6521172582,0.72222355,2.2133064268
kaggle_noNN,char_tfidf,rf,JP,0.695263141,0.6180131824,0.7693661464000001,2.1742861747999997
kaggle_noNN,char_tfidf,svc,JP,0.6959573844,0.686805642,0.7588049858000001,350.21187743999997
kaggle_noNN,combo,cnb,JP,0.6631949135730982,0.6550183758401116,0.7198727349773265,0.15169649124145507
kaggle_noNN,combo,lgb,JP,0.7378720190224968,0.7259604612604431,0.8042485123580303,185.02592759132386
kaggle_noNN,combo,lgr,JP,0.6542773810289734,0.6422637977878826,0.6986475355438592,19.693609285354615
kaggle_noNN,combo,rf,JP,0.7130943189860387,0.6547375416920836,0.7840046056203246,3.5131421089172363
kaggle_noNN,combo,svc,JP,0.699778236183491,0.6907465032397477,0.7645656449749832,1458.1002744674684
kaggle_noNN,word_tf,cnb,JP,0.6701401622380921,0.6621415072529879,0.7281290788139333,0.04408154487609863
kaggle_noNN,word_tf,lgb,JP,0.7290706963477664,0.7175297193434814,0.7954261613524377,14.64555811882019
kaggle_noNN,word_tf,lgr,JP,0.6675909841514938,0.6582709723032074,0.7249091574827691,2.6039483547210693
