Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_4164.txt,1,754,32.12,25.35,76.48,80.92,10.21,64.72,21.49,13.00,9.81,0.13,1.59,0.40,1.06,8.49,6.90,13.13,10.88,8.36,5.70,1.06,19.63,3.98,2.52,1.06,0.93,2.25,7.56,5.31,2.25,0.13,0.66,0.66,8.09,0.40,0.13,0.13,0.66,17.77,4.51,1.72,1.99,3.98,1.99,5.57,2.12,0.40,0.66,1.06,1.46,0.00,0.40,0.00,0.00,5.04,1.99,0.80,0.66,1.33,0.40,1.33,18.83,0.53,7.82,1.19,4.24,2.39,0.80,0.27,0.00,0.40,0.27,0.00,0.80,0.00,0.40,0.13,0.27,0.13
row_4165.txt,1,1112,43.35,38.32,60.35,54.55,7.46,68.71,17.54,11.87,7.19,0.81,1.35,2.16,0.36,5.67,7.37,16.64,15.38,6.38,6.12,1.89,23.92,5.13,2.79,1.35,1.35,1.62,5.67,3.60,2.07,0.27,0.81,0.18,8.45,0.00,0.27,0.54,1.80,16.55,2.97,1.89,3.24,5.85,1.44,4.50,1.80,0.90,0.54,0.36,0.90,0.09,0.36,0.09,0.00,6.29,1.80,1.26,1.62,1.35,0.63,0.36,22.39,1.17,13.31,1.80,6.83,5.04,0.63,0.36,0.00,0.63,0.00,0.09,0.63,0.00,0.27,0.18,0.09,0.00
row_4166.txt,1,979,16.79,50.41,61.01,54.62,11.64,67.93,21.76,13.79,6.54,0.31,3.06,2.04,1.84,7.97,5.82,13.48,10.32,11.03,7.76,2.86,20.33,5.72,1.63,2.04,0.61,1.63,7.76,4.60,3.06,0.51,0.92,0.41,12.05,0.10,0.20,1.74,0.31,19.31,4.70,2.04,1.53,3.88,3.06,5.92,1.84,0.41,0.92,0.31,0.82,0.00,0.10,0.00,0.00,5.31,1.74,0.41,1.63,1.53,0.31,0.31,20.02,1.33,9.09,0.72,4.49,3.98,0.41,0.20,0.00,0.10,0.00,0.00,0.92,0.00,0.41,0.00,0.31,0.10
row_4167.txt,1,858,72.48,54.19,64.28,82.22,10.26,62.70,16.43,10.72,6.53,0.35,2.91,0.35,0.58,5.71,8.16,19.00,9.21,7.58,5.94,0.58,15.38,5.13,2.56,1.75,0.82,2.68,5.71,4.43,1.28,0.58,0.23,0.23,7.81,0.23,0.00,0.23,0.58,12.00,2.68,2.45,1.17,3.26,1.05,2.80,2.68,1.17,0.82,0.47,0.70,0.35,0.12,0.00,0.00,5.24,1.63,1.17,1.28,0.93,0.58,0.70,13.52,1.28,12.70,1.17,8.28,3.50,1.40,0.82,0.00,0.12,0.00,0.00,0.47,0.12,0.12,0.12,0.00,0.12
row_4168.txt,1,755,70.26,65.95,32.51,85.81,8.08,66.36,19.34,15.10,7.42,0.93,3.05,3.31,0.40,4.24,10.07,17.48,11.79,5.96,3.18,0.79,19.07,7.02,4.37,1.85,0.66,3.18,8.08,5.70,2.25,0.66,0.53,0.26,11.52,0.26,0.13,1.59,1.99,13.64,3.31,0.93,1.59,4.37,1.72,3.05,1.72,0.40,0.66,0.40,0.40,0.00,0.13,0.00,0.00,6.62,2.25,2.12,2.25,0.79,0.53,0.79,17.35,0.40,9.40,1.32,6.36,1.85,0.66,0.40,0.00,0.00,0.00,0.13,1.19,0.13,0.53,0.26,0.26,0.00
row_4169.txt,1,824,47.44,58.17,45.93,75.34,12.14,62.26,16.38,10.80,5.22,0.73,3.52,0.73,0.61,5.58,5.83,16.38,12.62,8.62,5.22,1.21,20.39,6.19,2.91,2.06,0.85,3.28,6.19,4.37,1.70,0.12,0.73,0.49,8.50,0.36,0.12,0.73,0.49,16.99,3.76,2.06,2.18,3.40,3.16,3.64,1.82,0.97,0.49,0.24,1.46,0.24,0.24,0.36,0.36,4.73,1.70,0.73,1.33,0.97,0.36,0.97,18.33,0.36,10.68,1.33,6.31,3.16,0.61,0.61,0.12,0.00,0.00,0.00,1.46,0.61,0.24,0.24,0.12,0.00
row_4170.txt,1,824,51.26,48.06,41.96,32.00,7.52,65.90,17.11,12.74,8.01,0.49,1.94,1.70,0.61,4.37,8.01,16.99,10.68,9.83,7.16,0.73,18.81,5.95,3.03,1.46,1.33,2.67,6.19,3.28,2.91,0.49,0.85,0.61,9.47,0.61,0.24,0.73,1.58,14.08,2.31,1.09,4.00,4.25,0.73,3.64,2.18,0.36,0.61,0.97,1.58,0.49,0.24,0.00,0.36,6.80,2.06,1.33,2.43,1.33,0.49,1.09,17.23,1.21,11.53,1.33,6.55,3.88,0.61,0.24,0.00,0.49,0.24,0.00,0.49,0.00,0.00,0.00,0.49,0.00
row_4171.txt,1,1189,39.59,58.96,46.25,72.95,10.01,66.53,19.85,13.62,6.73,0.42,0.84,4.96,0.67,6.22,7.49,15.31,10.26,8.41,7.82,1.09,20.94,5.72,2.94,1.60,0.59,2.78,6.56,4.46,1.93,0.42,0.42,0.59,13.12,0.08,0.34,0.25,4.88,16.15,4.29,1.68,1.51,5.05,1.68,4.21,3.03,1.09,1.09,0.76,0.25,0.08,0.08,0.00,0.08,6.48,1.68,0.93,2.27,1.60,0.34,0.67,18.76,1.68,11.69,1.09,6.98,3.70,0.50,0.25,0.00,0.17,0.00,0.00,1.51,0.08,0.34,0.67,0.42,0.00
row_4172.txt,1,857,62.29,31.63,38.53,27.71,15.99,56.48,14.47,10.04,6.53,0.00,1.40,1.17,0.93,4.32,7.70,14.00,9.10,7.12,6.18,1.40,13.19,5.83,3.03,1.28,1.28,3.15,6.65,3.38,3.27,0.47,1.28,0.23,6.18,0.23,0.12,0.12,1.40,15.99,2.22,2.45,2.22,5.95,2.22,4.32,2.92,1.52,0.93,0.35,0.82,0.12,0.12,0.12,0.12,5.13,0.70,0.70,1.98,0.82,1.17,0.23,11.79,0.93,9.57,1.05,5.25,3.27,0.70,0.35,0.00,0.23,0.23,0.12,0.58,0.12,0.23,0.12,0.23,0.00
row_4173.txt,1,999,56.62,57.93,57.42,85.36,8.31,65.57,18.72,12.61,6.21,0.40,3.80,0.80,1.40,6.11,9.31,15.72,12.51,5.21,5.41,1.80,19.42,6.11,2.10,1.20,0.80,2.40,5.91,4.60,1.20,0.20,0.40,0.10,9.51,0.00,0.00,0.70,0.50,13.01,2.60,2.00,1.80,3.60,1.20,3.60,4.00,1.70,0.80,1.30,1.40,0.10,0.50,0.10,0.10,4.30,1.10,0.50,1.10,1.40,0.30,0.60,20.02,1.30,12.31,2.10,6.91,3.50,0.50,0.60,0.00,0.50,0.00,0.00,1.40,0.10,0.30,0.90,0.00,0.00
row_4174.txt,1,1077,64.90,28.55,91.53,72.68,10.68,64.07,16.34,11.14,8.36,0.09,1.58,0.00,1.11,5.20,7.99,18.20,9.66,8.45,6.69,0.65,19.50,6.41,2.69,1.95,1.11,2.69,6.13,4.27,1.76,0.28,0.19,0.74,6.31,0.00,0.00,0.00,0.00,16.25,4.27,1.30,1.95,4.46,1.21,4.64,3.34,1.02,0.37,1.86,2.04,0.56,0.74,0.00,0.28,5.57,1.49,1.21,1.49,1.30,0.65,0.74,16.62,0.93,13.93,1.95,7.61,4.55,1.02,0.37,0.00,0.00,0.00,0.09,0.19,0.00,0.00,0.09,0.09,0.00
row_4175.txt,1,1089,72.93,40.20,54.46,55.18,12.12,62.99,15.43,9.18,5.88,0.00,2.30,0.73,0.28,6.24,8.45,18.09,10.56,6.61,5.14,1.19,18.73,6.70,3.58,1.38,0.64,2.57,6.70,4.13,2.57,0.28,0.92,0.46,6.06,0.00,0.00,0.09,0.83,15.24,3.49,2.39,1.56,3.76,2.39,3.67,2.39,1.01,0.64,0.73,0.64,0.09,0.18,0.09,0.28,4.59,0.37,0.83,1.84,1.65,0.18,0.92,17.54,0.92,10.93,1.56,6.34,3.21,0.55,0.46,0.00,0.00,0.09,0.00,0.55,0.09,0.09,0.09,0.28,0.00
