Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_4110.txt,1,1312,64.22,61.70,68.29,61.91,13.57,54.73,16.69,10.52,6.17,0.23,2.59,0.61,0.91,6.17,7.93,12.27,8.08,4.34,6.33,0.61,16.23,5.26,2.82,1.22,0.46,2.29,6.10,3.89,1.98,0.23,1.14,0.23,10.52,0.00,0.46,0.76,0.84,15.62,5.03,2.44,1.60,4.04,1.30,3.12,2.36,0.46,0.69,0.84,1.22,0.61,0.08,0.15,0.30,5.41,1.83,1.22,1.45,0.99,0.30,0.84,13.26,0.99,11.74,1.45,5.95,4.34,1.37,0.99,0.46,0.08,0.15,0.08,1.07,0.46,0.23,0.23,0.15,0.00
row_4111.txt,1,1312,46.70,54.26,43.17,25.77,17.00,54.12,16.39,10.14,6.25,0.38,1.75,0.61,1.14,6.25,5.49,12.35,8.31,6.17,7.47,1.60,14.48,5.79,2.74,1.60,0.38,3.43,7.01,3.35,3.35,0.15,1.30,0.30,11.13,0.08,0.61,0.61,0.61,15.70,3.81,1.91,1.68,3.81,2.13,4.19,2.36,0.99,0.30,0.69,1.75,0.46,0.38,0.15,0.15,5.34,1.91,0.91,1.60,0.84,0.61,0.69,12.35,0.61,8.00,0.91,4.19,2.97,1.45,1.45,0.30,0.23,0.23,0.00,1.14,0.15,0.15,0.53,0.30,0.00
row_4112.txt,1,451,43.38,85.64,12.82,46.17,13.30,52.33,19.51,12.86,4.43,0.89,4.43,2.00,1.11,6.65,4.88,10.42,9.98,3.55,3.99,1.55,19.51,4.66,2.00,2.22,0.89,0.89,5.99,3.55,2.44,0.22,0.89,0.22,13.75,0.89,0.00,1.77,1.55,11.31,2.88,1.77,2.00,2.22,1.33,1.77,4.66,1.55,1.11,1.55,4.66,2.44,0.44,1.55,0.22,5.76,1.55,0.67,1.11,1.55,0.89,0.67,14.63,1.55,9.09,1.33,4.21,3.10,1.11,0.00,0.00,0.22,0.00,0.00,2.44,0.67,0.89,0.89,0.00,0.22
row_4113.txt,1,1466,46.71,37.17,67.18,29.18,15.28,55.25,16.37,10.98,7.91,0.00,1.57,0.68,0.82,5.32,5.39,12.69,8.19,6.48,8.05,1.09,17.46,4.98,3.41,2.18,0.61,2.59,5.73,2.80,2.59,0.34,0.89,0.41,8.32,0.27,0.27,0.55,0.34,16.58,3.75,2.59,1.84,5.25,1.57,3.96,3.27,1.23,1.16,0.41,1.84,0.41,0.89,0.00,0.61,5.93,1.36,1.43,2.11,1.50,0.41,0.95,14.94,1.16,10.57,2.05,5.46,3.34,0.95,1.23,0.34,0.41,0.20,0.14,0.55,0.20,0.00,0.20,0.14,0.00
row_4114.txt,1,792,24.90,62.86,28.27,91.46,10.61,55.68,18.69,12.12,5.68,0.51,3.41,1.52,1.01,6.57,4.80,8.84,9.97,6.57,7.32,1.52,17.55,7.32,3.16,2.27,0.63,4.04,7.95,5.93,1.89,0.00,0.88,0.51,12.12,0.13,0.25,1.64,1.26,17.05,3.91,2.02,2.02,4.04,2.02,5.05,2.53,0.76,1.14,0.51,1.26,0.63,0.13,0.25,0.13,4.17,1.39,0.38,1.39,1.26,0.13,1.26,14.39,1.26,6.44,0.63,3.41,2.65,1.01,0.63,0.00,0.00,0.00,0.00,2.02,0.51,0.51,0.63,0.38,0.00
row_4115.txt,1,805,44.59,39.22,49.13,32.15,13.54,55.40,14.04,7.45,4.22,0.50,1.49,0.00,1.24,6.58,6.71,11.55,8.20,8.20,9.07,1.61,13.66,7.45,4.47,1.49,0.50,3.35,7.08,3.73,3.35,0.50,1.12,0.25,6.21,0.12,0.37,0.12,0.25,18.14,3.60,1.99,2.48,5.22,3.11,4.97,4.22,1.86,0.75,0.62,1.61,0.75,0.12,0.12,0.62,6.58,0.99,1.24,2.98,1.61,0.87,0.50,10.93,1.49,10.56,0.75,5.09,4.84,0.75,0.50,0.00,0.37,0.62,0.12,0.62,0.12,0.37,0.00,0.12,0.00
row_4116.txt,1,1031,28.03,39.66,70.60,27.38,14.55,53.64,19.50,15.13,9.99,0.19,0.97,2.91,1.07,4.36,4.17,9.70,7.86,6.21,8.54,0.87,14.26,4.36,1.94,2.52,0.48,1.75,5.43,2.72,2.62,0.48,0.87,0.10,11.54,1.16,0.97,1.16,2.62,12.32,2.72,2.42,1.26,2.81,1.16,3.98,2.42,0.87,0.68,0.48,1.45,0.48,0.29,0.19,0.00,9.41,3.20,1.45,2.81,1.65,0.78,0.97,12.03,1.07,11.74,1.65,4.75,5.14,4.95,1.26,0.29,0.10,0.48,0.19,1.07,0.48,0.68,0.00,0.00,0.00
row_4117.txt,1,1558,24.63,45.16,78.83,37.11,17.14,61.10,21.37,12.00,7.38,1.03,1.73,0.96,0.90,9.37,4.81,12.77,7.83,8.09,9.50,1.35,15.47,5.33,3.34,2.57,0.51,2.63,6.16,3.27,2.63,0.58,0.45,0.39,9.50,0.51,0.39,0.32,0.90,20.09,5.33,3.21,1.73,5.20,1.86,4.75,3.27,1.03,0.58,1.41,0.71,0.19,0.39,0.00,0.13,5.58,2.37,0.90,1.35,0.71,0.45,1.09,12.84,0.96,11.04,1.03,4.94,5.26,0.77,0.45,0.32,0.13,0.00,0.13,1.16,0.00,0.32,0.51,0.39,0.06
row_4118.txt,1,374,69.26,61.58,23.06,45.41,11.76,49.20,11.76,6.95,4.01,0.00,1.87,0.53,0.53,4.81,5.35,13.37,11.76,3.74,4.55,0.80,19.79,6.95,2.41,1.07,1.34,4.01,6.68,3.74,2.67,0.80,1.07,0.27,9.89,0.00,0.80,0.00,1.07,14.44,2.41,1.07,1.60,4.81,1.87,3.74,5.88,4.01,1.07,0.27,1.87,0.53,0.53,0.27,0.53,5.61,2.14,0.80,1.34,1.60,0.53,0.53,15.78,0.80,8.56,0.80,5.08,1.60,1.60,3.21,0.27,0.80,0.27,0.27,1.07,0.27,0.27,0.53,0.00,0.00
row_4119.txt,1,961,35.04,68.01,47.36,46.89,13.11,55.46,16.34,10.72,4.58,0.52,3.33,0.42,1.87,5.62,4.99,11.03,10.51,6.97,6.97,1.56,18.21,6.76,3.02,2.08,0.83,2.60,8.12,4.58,3.43,0.21,1.14,0.83,12.80,0.21,0.83,0.62,0.62,15.71,4.27,1.46,1.77,3.12,1.56,5.31,3.02,1.46,0.21,1.25,1.25,0.52,0.42,0.21,0.21,7.39,2.19,1.25,2.39,1.87,0.42,0.62,14.98,1.56,8.64,1.14,4.27,3.12,1.77,0.42,0.00,0.62,0.21,0.00,1.04,0.52,0.00,0.10,0.21,0.00
row_4120.txt,1,1501,51.42,19.33,82.68,70.87,13.59,59.23,17.79,11.93,9.59,0.33,1.27,0.20,0.53,5.80,6.00,14.72,8.73,6.60,6.33,1.73,17.59,5.66,3.40,1.33,0.80,2.93,6.40,4.33,1.93,0.20,0.67,0.20,6.00,0.13,0.20,0.20,0.67,16.46,4.86,2.07,1.80,3.20,1.60,4.80,2.13,0.87,0.53,0.60,1.13,0.27,0.53,0.00,0.13,5.40,1.07,0.87,1.73,1.47,0.73,1.13,14.32,0.80,9.39,1.07,5.46,3.06,1.07,0.27,0.07,0.07,0.07,0.00,1.00,0.13,0.13,0.60,0.20,0.00
row_4121.txt,1,1169,50.22,61.78,31.66,53.08,16.68,56.63,14.97,8.30,3.59,0.43,2.48,0.94,0.86,6.67,6.67,12.23,10.27,5.73,6.76,2.05,17.79,4.79,2.74,2.05,0.09,1.88,5.56,3.51,2.05,0.09,0.77,0.26,11.12,0.09,0.00,1.20,0.94,18.39,5.30,2.74,2.82,3.93,1.80,5.22,2.40,0.86,0.77,0.34,1.45,0.17,0.43,0.51,0.09,8.04,1.88,1.11,3.68,1.71,0.60,1.03,15.40,1.11,7.78,1.03,4.02,2.74,0.86,0.34,0.09,0.43,1.97,0.09,0.34,0.17,0.00,0.00,0.17,0.00
row_4122.txt,1,1286,37.66,67.67,48.41,59.65,13.61,55.91,17.73,11.59,5.91,0.86,3.11,1.17,0.54,6.14,5.29,11.59,9.41,5.99,7.54,1.56,17.19,4.59,2.26,2.88,1.09,2.49,6.61,4.20,2.41,0.00,0.93,0.54,11.12,0.23,0.31,1.24,0.70,13.61,3.73,2.10,1.56,3.11,1.94,2.95,2.18,1.01,0.86,0.31,1.56,0.16,0.23,0.62,0.39,6.38,2.10,1.40,1.63,1.40,0.54,0.86,14.23,0.62,10.89,1.48,5.99,3.50,1.94,0.54,0.16,0.23,0.23,0.00,1.48,0.08,0.47,0.54,0.70,0.00
row_4123.txt,1,1479,44.80,31.57,76.26,69.12,12.24,54.70,17.24,11.16,7.91,0.27,2.16,0.41,0.41,6.02,6.69,10.82,7.84,6.42,7.57,1.22,15.75,4.87,2.37,2.03,1.22,2.57,6.42,4.26,1.96,0.14,0.68,0.47,7.17,0.27,0.41,0.47,0.41,15.08,3.31,1.96,2.30,3.52,1.28,4.87,3.65,0.81,1.62,0.74,1.76,0.47,0.34,0.41,0.20,6.96,1.69,1.83,1.35,2.16,0.34,1.56,13.52,0.81,11.90,1.56,5.48,5.00,3.52,2.77,0.41,0.47,0.27,0.14,1.35,0.41,0.41,0.34,0.14,0.07
row_4124.txt,1,1456,39.93,54.91,64.83,91.01,13.67,55.29,18.89,12.43,7.55,0.14,2.88,1.37,0.48,6.32,5.43,11.26,7.07,7.21,6.80,1.24,14.90,4.74,2.20,1.24,1.17,2.06,7.76,5.77,1.79,0.41,0.55,0.34,10.78,0.00,0.62,0.41,1.24,14.15,3.23,1.65,1.44,3.57,2.61,3.50,3.85,0.82,2.40,0.41,2.06,1.10,0.55,0.14,0.14,5.22,1.92,1.30,1.17,0.89,0.21,1.65,12.57,1.17,11.81,1.51,5.84,4.26,0.76,2.13,0.14,0.14,0.21,0.07,3.09,0.27,0.76,0.69,0.89,0.21
row_4125.txt,1,930,55.75,44.45,47.63,31.26,17.42,54.09,15.16,7.10,3.87,0.54,1.72,0.65,0.32,8.06,5.70,13.12,8.60,5.59,6.24,2.15,14.84,4.62,1.83,2.80,0.65,3.12,5.91,3.01,2.69,0.22,0.54,0.97,7.63,0.22,0.22,0.54,0.54,16.88,3.76,2.04,2.47,5.16,1.83,5.16,2.47,0.65,1.18,0.32,2.90,0.97,1.40,0.11,0.43,7.10,1.83,1.72,2.15,1.40,1.08,0.22,11.83,1.40,10.97,1.72,7.53,1.51,1.29,0.86,0.11,0.75,0.43,0.32,0.75,0.11,0.32,0.00,0.32,0.00
row_4126.txt,1,1032,47.84,82.39,13.70,49.19,11.82,52.13,16.57,11.14,3.39,0.48,4.65,1.55,1.07,5.43,6.49,9.98,7.36,6.10,6.30,1.84,14.24,7.17,3.78,1.65,0.48,3.78,8.24,4.65,3.39,0.87,0.87,0.10,14.73,0.58,0.29,1.07,1.65,16.96,2.71,1.36,2.52,6.01,2.03,4.55,3.20,0.87,0.97,0.87,1.36,0.39,0.48,0.19,0.29,8.04,2.23,0.87,2.23,2.03,1.26,1.07,10.85,0.19,7.85,0.68,4.94,2.23,0.97,0.48,0.10,0.87,0.00,0.29,2.52,0.78,0.29,0.97,0.39,0.00
